title,content
‘Stand by us’,"Family members of those martyred during the July-August mass uprising have accused the interim government of neglecting their plight and failing to deliver justice. At a press conference held in front of Jatiya Press Club yesterday, they alleged that the government has made no significant progress in arresting or prosecuting those responsible for the killings, nor has it officially recognised the martyrs. Many families are living in dire conditions, they claimed, as no steps have been taken to rehabilitate them. The families announced they would begin a sit-in and hunger strike on February 4 if their demands are not met by tomorrow. At least 20 relatives of the martyrs, including mothers, fathers, siblings, spouses, and children, spoke at the event titled ""Ensuring Immediate Arrest and Trial of All Perpetrators, and Securing the Just Demands of the Martyrs' Families."" Bithi Akter, widow of Hafizur Rahman, who was shot in Agargaon on August 5 and died on August 16, said, ""If you cannot fulfil our demands, then kill us too. We have no reason to live anymore."" ""My child asks for food and clothes, but I cannot provide. My landlord doesn't excuse the rent for a single month. If the government refuses our demands, then kill us, kill our children too -- we'll all become martyrs, and no one will remain to protest on the streets,"" she said. Reema Akter, whose husband Mohammad Sohag was killed in Bangshal, said, ""Why is the government ignoring us? Why do we have to beg for what is rightfully ours? We cannot bear this anymore. Please stand by us."" Rabiul Awal, whose brother Imam Hasan (Taim) was killed in police firing in Jatrabari, said he has been seeking justice for six months without any progress. ""For months, I've run from one government office to another, but none of the perpetrators have been arrested or put on trial,"" he said. Shahina Begum, mother of Sajjad Hossain, who was killed in Ashulia on August 5 and had his body burned after his death, broke down in tears. ""They killed my son like an animal and then burned his body. Yet no one has been arrested. If the criminals are not caught, how will justice be served?"" Many families also spoke of their struggles after losing their primary earning members. Saidur Rahman Khan, grandfather of Shahriar Khan Anas, who was shot dead in Chankharpul, said, ""This government was formed based on the martyrs' sacrifices. But now it has abandoned us. Its first responsibility should have been to support the martyrs' families, yet we are being forced to protest for our rights."" Mosharraf Hossain, father of journalist Mehedi Hasan, who was killed in Jatrabari, asked, ""What was his crime? Was reporting the truth a crime? The fascist regime murdered my son for delivering news. The interim government made many promises, but nothing has been done for us."" Abul Hasan, father of Shahriar Hasan Alvi, who was shot dead in Mirpur, moderated the event. ""The government hasn't inquired about any of the martyr families. Many of us are living in inhumane conditions. Some families can't even afford milk for their children,"" he said."
"1,800 people get free health check-ups","A daylong free health check-up camp for underprivileged people was organised in Narail Sadar upazila on Friday. Faraaz Hossain Foundation in collaboration with Sharif Atiar Rahman Smriti Parishad organised the camp at RBFM Bhabanipur Secondary School ground. Since morning till evening, there were long queues of people at the camp where a team of 21 specialised doctors provided service to around 1,800 people from surrounding villages. The services include blood pressure and diabetes check-ups. They were also given medicines free of charge. The camp was held commemorating Faraaz Ayaaz Hossain. Faraaz has become an epitome of supreme sacrifice for the cause of humanity. His refusal to leave his friends during the militant attack at Gulshan's Holey Artisan Bakery on July 1, 2016 was not only an act of bravery that the world saluted but also set the burning example of what a pristine youthful mind can do when it comes to choosing the right path at the expense of mere mortality.A discussion was also held as part of the event. Among others, Narail Deputy Commissioner Sharmin Akter Jahan, Bangladesh Southern University VC Sharif Ashrafuzzaman and former Narail Sadar upazila chairman Sharif Humayun Kabir were present."
Arakan Army releases cargo vessel after 16 days,"A cargo vessel carrying 1,600 sacks of dried fish reached Teknaf Land Port yesterday after it was released by Arakan Army. The Myanmar-based rebel group had seized the vessel 16 days back on its way to Teknaf from Yangon. The vessel arrived at the Teknaf Land Port jetty at 12:45pm yesterday, said port officials. Syed Mohammad Anwar Hossain, manager of United Land Port in Teknaf, said, ""The boat is now anchored at the jetty. Once the procedures are completed, the goods will be unloaded."" The Arakan Army had seized three boats on January 16 at the Naf river estuary while those were en route to Teknaf carrying 50,000 sacks of dried fish, betel nuts, coffee, and other goods. Later, on January 20, the Arakan Army released two of the cargo boats carrying 27,722 sacks of goods. ""The two other boats, which earlier reached Teknaf after being released from Arakan Army's custody, were unloaded and sent back to Yangon,"" Anwar Hossain added."
Only wealthy have access to politics,"Elections in Bangladesh are an expensive affair, with candidates spending between Tk 5-10 crore to secure nominations and for their campaigns, according to a report by the Westminster Foundation for Democracy. The situation has worsened in recent years -- particularly during the past four Awami League-led governments from 2009 to 2024 -- where the influence of financial resources in politics has increased dramatically, it said. The rising costs of electioneering have created barriers for many aspiring politicians, particularly those from, less affluent backgrounds and marginalised communities, including women and youth, said the report titled ""The cost of politics in Bangladesh"". The report was prepared by the Westminster Foundation for Democracy, the UK public body dedicated to strengthening democracy and open societies around the world. The research for the report was done between July and December last year. As many as 25 in-depth key informant interviews were taken with former members of parliament, election officials and other stakeholders. Two focused group discussions were held. Researchers also gathered data from secondary sources from government publications, prominent international organisations and academic literature that delves into the political economy of Bangladesh. To put themselves in contention for nomination, candidates often spend money on community events, make donations to local institutions and work to build public support through informal patron-client networks, the report said. ""A common perception in Bangladesh is that those unable to spend money cannot be credible candidates for MP."" Many politicians interviewed for the report indicated that candidates often spend between Tk 2 to 5 crore to gain the favour of influential party leaders, particularly within the AL and Jatiya Party. ""In some cases, additional payments were allegedly made directly to members of the prime minister's family to secure nominations,"" it said. Jatiya Party Secretary General Mujibul Haque denied the allegations brought on by the report. ""This allegation is an absurd one. None have to pay for getting party nomination,"" he told The Daily Star. During the campaign phase, candidates need to spend Tk 3-5 crore or even more depending on the constituency and level of competition. Candidates have to spend money on the day of the polls to secure votes on top of their electioneering costs: a minimum of Tk 50 lakh was spent on average per candidate on the election day. Vote buying was a feature of all election contests in 2024, with payments per vote being Tk 1,000 to Tk 5,000. Candidates in Bangladesh's elections typically rely on formal and informal funding sources. The formal sources include contributions from political parties and personal savings. Informal sources include donations from businesses, vested interest groups and sometimes illicit contributions from foreign actors and criminal syndicates. This illegal funding typically originates from tax evasion, extortion and organised crime syndicates, which provide financial backing to candidates in exchange for political influence once elected, the report said. Even after winning the election, some candidates need to spend another Tk 4 to 5 lakh to expedite administrative processes such as the official publication of election results or necessary documentation. ""Because of the highly expensive election process, only people who have wealth are getting the chance to enter into politics,"" said Shahab Enam Khan, one of the researchers for the report and a professor of international relations at Jahangirnagar University. As much as 85 percent of the MPs possess movable or liquid assets worth Tk 1 crore each or more in 2024, according to Transparency International Bangladesh. Nearly 82 percent of the lawmakers possessed assets worth more than Tk 1 crore in the 2018 parliament, according to Shushashoner Jonno Nagorik. Some of the interviewees even said that the election expenditure might be about Tk 100 crore in some constituencies, said Nurul Huda Sakib, another researcher for the report. ""High election expenditure has become a normal matter. We reported the average figure of election expense, the figure might be much more than that."" The high cost of elections is leading to an increasing number of businessmen entering politics, he said. ""This trend is also contributing to the growth of crony capitalism and kleptocracy,"" said Sakib, a professor at Jahangirnagar University's department of government and politics. As much as 66 percent of the elected MPs were businessmen in the 2024 parliament.  In the 1991 parliament, 38 percent of the MPs were businessmen. In the 1973 parliament, only 18 percent of the MPs were businessmen. ""The use of money and muscle have increased businessmen in politics and as a whole criminalised politics,"" said Ruhin Hossain Prince, general secretary of Ruhin Hossain Prince. To strengthen legal frameworks and promote a coordinated approach in deterring financial misconduct, kleptocracy and the illicit use of wealth in electoral processes, fostering collaboration among key institutions is essential, the report said. It proposed a task force composed of the Anti-Corruption Commission, the Information Commission of Bangladesh, the Comptroller and Auditor General and the Election Commission to oversee the political parties' candidate selection processes and campaigns. The report also suggested facilitating party nomination based on merit rather than privilege."
BNP drafts July uprising declaration,"The BNP has finalised its draft declaration of the July uprising. It is currently discussing the draft with allies and like-minded parties for their feedback to ensure broader acceptance. The party would interact with the advisers of the concerned ministries later and the declaration would take a final shape after reaching a greater consensus, BNP standing committee member Salahuddin Ahmed told The Daily Star. The draft was made as per the discussion in a meeting held with Chief Adviser Prof Muhammad Yunus and other political parties on January 16, he said. ""I believe the declaration should bear signatures of all parties concerned, as it carries political and historical significance. The process is ongoing, and we, all stakeholders, need to have patience,"" he added. For input from other anti-fascist political parties to refine the document and discuss its upcoming programmes, the BNP held meetings with the 12-party alliance, Jamiat Ulama-e-Islam Bangladesh, and Jatiyatabadi Samamona Jote in the last two days. It plans further discussions with its partners and those who boycotted the last parliamentary election in January 2024. The draft declaration traces its roots from the 1971 Liberation War to the fall of the Sheikh Hasina government following the July-August mass uprising led by students last year, according to party sources. They say the declaration underscores a firm commitment to preventing the resurgence of fascism and ensuring justice for crimes against humanity, including enforced disappearances and killings during Hasina's rule. It also stresses the urgency of holding free and fair polls and completing constitutional reforms through an elected parliament. Leaders of the Students Against Discrimination, which spearheaded the uprising, and its citizen platform the Jatiya Nagorik Committee attempted to make a July uprising proclamation in late December last year. However, the government said it would make the proclamation itself after consensus among all the parties. After the uprising leaders submitted their draft to political parties, an all-party meeting was convened on January 16. The BNP decided to support the students' initiative with necessary revisions. According to party sources, the party has carefully chosen the term ""declaration"" rather than ""proclamation"" for the document. They said the BNP decided to draft the declaration after discussing the matter within its policymaking forum. A standing committee member, who was involved in drafting the declaration, said that BNP adopted aspects of the students' proclamation that align with the party's ideology. ""We have modified and reformulated the unreasonable aspects of the students' manifesto,"" the leader added, speaking to this newspaper on condition of anonymity. According to sources, the party believes the declaration remains relevant despite the time elapsed since the uprising and the formation of the interim government. The core elements of the draft would remain intact, with possible minor adjustments based on the feedback from allies, according to the party sources. Meanwhile, a comparison between the student-led draft and BNP's version reveals key differences. The students refer to the 1971 war as a ""People's War"" while the BNP calls it the ""Liberation War"", explicitly mentioning the March 26, 1971, independence declaration, which is absent in the students' draft. On constitutional reforms, the students criticise the 1972 constitution for failing to reflect the aspirations of Liberation War participants, advocating for its amendment or abolition. The BNP, however, proposes systematic reforms through an elected parliament. Its draft also highlights the formation of the interim government on August 8, 2024, led by Prof Muhammad Yunus, based on the Supreme Court's opinion under article 106 of the constitution. In contrast, the students' draft demands immediate structural reforms before the next election. It credits the Students Against Discrimination for leading the July uprising, while the BNP's version attributes the mass movement to people from all sectors of society. The BNP's draft includes detailed casualty figures, citing over 2,000 deaths, including of women and children, and thousands left with life-altering injuries like the loss of a limb or eyesight. The details are absent in the students' draft. While the students focus on the persecution of students and youths under Awami League rule, the BNP's draft broadens the scope to include opposition leaders, activists, and others. Both drafts demand justice for crimes committed during the uprising, while the BNP also wants justice for the crimes during the 16 years of fascist rule, including enforced disappearances and human rights violations. The students' draft calls for a ""New Republic"" to address systemic oppression and inequality, urging official recognition of their declaration effective from August 5, 2024. On the other hand, the BNP's draft focuses on constitutional reforms through an elected parliament, avoiding the term ""New Republic"". The BNP focuses more on the political struggle against the Awami League, describing the uprising as a continuation of the struggle, and emphasising the role of political parties and other organisations in leading the movement. The students' draft focuses on the broader societal impact of discrimination, corruption, and environmental degradation, emphasising the role of students and common people in the movement."
"Interview /  ‘No room for politics under AL name, ideology’","As the interim government is going to complete its six months in office, calls for the national election are growing louder. Several reform commissions have already submitted their reports, and the government may soon engage with political parties. Nahid Islam, a July uprising leader, who is now serving as an adviser to the interim government, lately spoke with The Daily Star's Wasim Bin Habib and Baharam Khan on a range of pressing issues. TDS:How would you evaluate the six months since the interim government took office? Nahid: We assumed responsibilities in an extraordinary situation and have been navigating a kind of revolutionary phase. It was an unprecedented situation for Bangladesh. Naturally, there was tension and uncertainty. However, over the past six months, the situation has become more stable. Although progress is slow, things are improving. People may have expected faster actions, but various constraints posed limitations. Despite these, the government is doing its best. TDS:What were the main challenges during this time? Nahid: The biggest challenges were maintaining law and order and stabilising the prices of essentials. Ensuring national unity while meeting people's expectations has always been a challenge. As everyone can see, the government's structure is small, but it's work scope is quite extensive. We've to move forwards by maintaining a balance among political parties while keeping national unity intact. Meanwhile, the reform commissions are submitting their reports. begun, with arrests already underway. So, I believe we're making progress. If the political parties show more goodwill, we can advance at a faster pace. TDS: What were the things you wanted to achieve during this period but couldn't? Nahid: There are some regrets. If we could take some stricter measures from the very beginning, changes could have come sooner. Over these six months, we haven't been able to improve the administrative and law and order situations to the desired level. That said, our biggest achievement has been the transition from uncertainty to stability. In the early days, there were speculations about whether the government would remain in power, or there would be a counter-revolution. There were conspiracies within the country, along with geopolitical pressures. There was an international campaign against us, and tensions surrounding minority communities in the country were deliberately flared. Now, those tensions have largely subsided. I believe this is significant progress. TDS: As for the law-and-order situation, incidents like muggings are occurring daily, even in broad daylight, which is concerning. Nahid: Yes, that's true -- some challenges still exist. Incidents of mugging and criminal activities are occurring in some areas. We're trying to restore the police's morale to its previous state. The police force is currently undergoing a transformation including new training and restructuring. However, such comprehensive changes take time. For example, many members of the Dhaka Metropolitan Police have been transferred outside Dhaka, and new officers have been brought to the capital. This transition period has created temporary challenges, as officers need time to adjust to their new environments. Initially, there was criticism when the police were perceived as inactive (following the fall of the AL government). Then when they took decisive actions, there was criticism again. Such contradictions make it difficult for them to stabilise. That said, we are committed to ensuring that the police regain full operational capacity. TDS: Why was the police uniform changed? Do you think it'll lead to any qualitative improvement in the force? Nahid: We don't expect a change in the uniform will solve everything, but it carries symbolic and psychological significance. A few days ago, I visited the graves of some martyrs. Relatives of one of the martyrs were infuriated upon seeing uniformed police officers who were accompanying me, even though they had no involvement in the deaths. The reactions might have been different if the officers were in plainclothes, as the primary identity of a force is represented through its uniform. This aspect is being taken into consideration. On one hand, we expect police to protect human rights, while on the other, they're responsible for controlling riots. The government is working to improve police effectiveness through advanced training. TDS: Various shrines have been attacked, while a girls' football match was disrupted. What're the reasons? Nahid: These incidents are deeply concerning and unacceptable, and may have occurred due to gaps in law-and-order situation. We acknowledge that such events are embarrassing for the government. We're taking these incidents seriously and trying to take appropriate action, while also considering compensation to the affected shrines. TDS: The students and youth say the election should be held after reforms. On the other hand, the chief adviser has announced an election timeline. Is there a conflicting position between these two issues? Nahid: From the beginning, we've maintained that elections and reforms are not contradictory. In fact, while elections are crucial for democracy, but reforms are equally necessary to ensure fair polls. Over the past 15 years, elections haven't been conducted properly. The people have lost much of their faith in the electoral institutions. During the (July-August) movement, we said we wanted to create a new arrangement to prevent the return of fascism. We want to ensure that no future government can manipulate the electoral system for party or personal gains. This is a long-term process, but we want to lay the foundation now. We want to take political (parties') commitment so that whoever comes to power will continue the reforms. TDS: Do you think the reforms can be completed within the timeframe set by the chief adviser? Nahid: If you notice, the first six reform commissions we formed are related to state structure and electoral reforms. Some of the commissions have already submitted their reports. We plan to discuss these issues with political parties this month. The parties were eager to know a specific timeframe. From that perspective, we believe the timeframe given by the chief adviser is consistent with the reform initiatives. TDS: BNP previously suggested that the election could be held on August 5, terming it a historic date. What is your response to this? Nahid: August 5 will also be a historic date in 2026. If this date is chosen as a milestone for the democratic journey, I don't see an issue. TDS: There are discussions regarding a political party by the students and youth, and the resignation of two advisers including yourself. Will you really be resigning? Nahid: As advisers, we're still focused on the government responsibilities. No decision has yet been made regarding our resignations. TDS: Since you were a key figure in the July uprising, many expect you to join a party. What's your personal view on this? Nahid: I haven't decided yet. My focus remains on where I can contribute most effectively. I need to carefully assess whether I can make a greater impact within the government or by working on the ground. When the time comes, I will make that decision based on what best serves the country. TDS: BNP Secretary General Mirza Fakhrul has raised questions about the government's neutrality. Do you think this is related to the formation of the students' party? Nahid: The students didn't form a party immediately after the uprising in order to gain the trust of the political parties. If they had, many other would have shown interest in being involved and they still might. So, you can understand the perspective of the youth. The government prioritising the advice of political parties in making key decisions. When the issue of removing the president arose, we did the same. Therefore, BNP's allegations of bias aren't justified. I don't know if they're considering any alternative plan or other options by removing Dr Yunus. If they are, I don't believe it will serve them or the country well. TDS: Is there any crack developing in national unity? Nahid:The uprising brought together people from different political and ideological backgrounds. Naturally, there were differences, but that doesn't mean there is a lack of unity. During the movement, we took a united stance. So, differences will exist, but this does not mean it's a weakness. We don't expect everyone to have the same stance over every issue. However, the key question is how united we can remain on major national challenges. I believe that national unity is still intact. If it weren't and political parties didn't cooperate, it would've been more difficult to run the government. I hope this cooperation will continue in the future. Through our collective efforts, if we can maintain a consistent path towards reforms and ensure a responsible democratic transition, it'll be an achievement for all, especially those in the upcoming government. Their task will be easier. TDS: How much reform can realistically be accomplished? There isn't much time. Nahid: That's precisely why we weren't eager to announce an election timeline in haste. If even the minimal expectations of the people, shaped by the mass uprising and consequent bloodshed, are not met, they will lose faith in us and take to the streets. Sheikh Hasina's government was also an ""elected government"" in 2008, but it committed misdeeds. This suggests that an elected government doesn't necessarily guarantee the country's safety. We're aware of the recommendations made by ""Teen Joter Ruprekha (roughly translated to 'tri-alliance outline')"" in 1990, but those plans weren't implemented. This time, we aim to create a roadmap for the public through reforms in the state structure, which can continue no matter who comes to power next. TDS: Several journalists have been arrested and are in jail. Many were charged with murder, and some were laid off. Can these not be seen as a threat to freedom of press? Nahid: No one has been arrested for criticising the interim government. However, some individuals in the media are facing legal proceedings due to allegations of criminal activity that extend beyond journalism. Many of those who were closely involved with the previous regime and failed to uphold journalistic ethics, who were complicit with fascism, are accused of being involved in (the July) killings. However, I believe the role of journalists and the media over the past 15 years needs deeper discussion. It isn't possible to address these through the legal framework. There must also be some form of accountability for those who committed moral or social wrongs as collaborators of fascism.If the government takes such measures, it may be questioned. I think the initiative should come from within the media itself through independent reviews and professional standards bodies. TDS: While there may be allegations of financial wrongdoings against some journalists, but many are charged with murder. Isn't this putting pressure on other journalists? Nahid: We've ensured a process for review if any case isn't filed properly. We've also communicated with the law ministry regarding the accused in cases who have applied for a review. Some journalists are also facing corruption allegations, which are being investigated by the Anti-Corruption Commission and other relevant government agencies. The government isn't pressuring the media, but there is undeniable public frustration. However, certain groups have portrayed this internationally as a crackdown on press freedom, which does not reflect the full picture. In the past, media outlets were forcibly shut down following changes in government. That hasn't happened since this government was formed, though there's resentment among the people over the role of some media outlets. I won't take names, but certain media outlets directly supported the fascist government during the July uprising. Was that ethical? To this day, they haven't acknowledged their role, nor have they explained their actions.They didn't say they wouldn't repeat such practices in the future. If the journalists who compromised ethical standards in the past takeresponsibility, acknowledge their misdeeds, and commit to not doing so in the future, this pressure perhaps will also lessen. TDS: The recently approved draft of the Cyber Protection Ordinance-2024 contains several repressive provisions, as highlighted by civil society groups such as Transparency International Bangladesh. What are your thoughts? Nahid: The law is being revised to ensure journalists and all sectors of society have freedom of speech and expression. I admit our government rushed the drafting process. The intention was to pass it quickly so that the victims of false cases filed under the Cyber Security Act could get some relief. Now, we've decided to cancel cases related to speech and writing offenses. TDS: Will the government take into account the concerns raised by stakeholders? Nahid: Absolutely. Further discussions will take place. We aim to create the best possible law with input from all stakeholders. I believe we can do that if stakeholder meetings are held properly. TDS: In your opinion, what will be the future of Awami League politics? Will it be able to participate in the next polls? Will it be banned? Nahid: It can't be definitively said at this moment. Whether Awami League should be banned or allowed to contest polle is something that requires national consensus. It'll also depend on the decisions from the courts and the Election Commission. However, as those who led the uprising, we believe Awami League has lost its moral and legal legitimacy to continue politics. TDS: But you have mentioned reconciliation… Nahid: Yes, but not under Awami League's banner. Those from the Sheikh family or individuals identified as corrupt or involved in mass killings have no right to continue politics. TDS: What about Awami League members who were not involved in corruption or violence? Nahid: There is no room for politics under the name or ideology of Awami League. Their ideology is fascist, which led to 15 years of oppression and mass killings. Those who realise their mistakes must abandon that ideology. Their political and civil rights remain intact -- they can join other parties or form a new one. TDS: If someone from the Awami League, who wants a clean image, wants to join the Anti-discrimination Students' Movement – would you accept them? Nahid: I am not currently involved with the platform, so I don't want to comment. TDS: You don't want Awami League to continue politics, but there's no provision for prosecuting a party in the amended ICT Act… Nahid: At that time, the decision was made based on consultations with national and international stakeholders. Legal experts and learned advisers of the advisory council gave their input. Our main focus is to ensure that the judicial process is not questioned. However, there're other ways to ban a party outside courts as well. TDS: Is such an initiative being taken? Nahid: For now, we're focusing on the judicial process. Once progress is made in that regard, decisions on related matters will become easier. TDS: Critics say if the prosecution of a party was included in the law, Jamaat-e-Islami would have to be prosecuted for its 1971 crimes as well… Nahid: That's not the case at all. After discussing with experts, all necessary actions to maintain international standards have been taken. TDS: Could you share something about the progress of the judicial process in ICT? Nahid: We hope that the judicial proceedings of the important cases will begin before August. TDS: Will the election be held after that? Nahid: It'll depend on the judicial timeline. However, our aim is for the public to see justice being served, and then move forward with a fair and credible election. TDS: If everything goes well, we'll be heading toward an election atmosphere in six months. What do you plan to do during this time? Nahid: Law and order, along with the economic condition, need further improvement. If the police aren't properly operational, holding an election will be difficult. Many people might've thought that an election will fix everything, but that's not the case. A good election requires a conducive atmosphere. We want to organise the most transparent and credible election in the country's history. The 1991 election is often considered the country's fairest election, but we aim to set an even higher standard. TDS: What challenges do you foresee? Nahid: Many Awami League goons are conspiring to destabilise the government. They're attempting various forms of sabotage with the support of foreign powers. Leaders and activists of different political parties in the country are getting involved in extortion and other criminal activities. We need to tackle these while moving towards the election. This isn't just for polls; it's essential for foreign investment and internal business environment. TDS: What does the interim government want to achieve within its first year? Nahid: The most significant one could be visible progress in the trial of the July massacre. People across the country are eagerly waiting for this. We want to ensure that martyr families and the injured are adequately compensated and rehabilitated. Law and order should reach a satisfactory level. Reform initiatives should lead to a political consensus so that we can present a framework for unity to the nation and ensure that future governments will continue the rest of the work."
Vandalism at Venue: Girls’ football match to be rescheduled soon,"The Joypurhat district administration has announced to reschedule a women's football match, which was previously cancelled after being disrupted following vandalism of the tin fence surrounding the playing field. The decision was conveyed on Friday after a meeting between an investigation committee, the organisers, and local religious leaders, said Anisur Rahman, officer-in-charge of Akkelpur Police Station. Members of the investigation committee, accompanied by an army team, visited the playing field and spoke with local residents. Law and order in the area remained stable, he added. Akkelpur upazila nirbahi officer Manzurul Alam, a member of the probe body, said that the incident resulted from a ""misunderstanding"", as acknowledged by local religious leaders. He assured that there were no longer any obstacles to women's football being played on the field, adding that arrangements for the match would be made soon. Some individuals involved in the vandalism were also present and attributed the incident to ""miscommunication"". Mostakim Hossain, a teacher of the local Bacha Haji Madrasa, expressed regret over the incident and apologised for the disruption of the women's football match in Tilakpur on Tuesday. ""A misunderstanding among locals led to this unfortunate event, and we feel ashamed before the nation and the world. We assure that such an incident will not happen again in Joypurhat,"" he said. Nazrul Islam, president of Tilakpur union unit of Jamaat-e-Islami, said, ""We support sports being conducted in accordance with government regulations. The incident was caused by a misunderstanding among local Muslims, and we do not want such occurrences in the future."" Abdus Samad, khatib of Tilakpur Purono Bazar Jam-e Mosque, clarified that there had neither been any opposition to the match itself nor were any objection to the game taking place openly. Samiul Hasan, president of the organising club T-Star and also organisational secretary of the upazila unit BNP, described the incident as a ""misunderstanding"" and assured that the issue would be resolved promptly."
Amar Ekushey-2 / Language Movement in Faridpur,"This year marks the 73rd anniversary of the 1952 Language Movement. Drawing on research based on various published books, this 21-part series tells the story of the historic struggle for our mother tongue. Like other parts of the country, the demand for Bangla as a state language was made also in Faridpur, where the Language Movement began in 1948. In February of that year, Muslim League leaders and many other members of the Pakistan Constituent Assembly opposed a proposal to use Bangla in state affairs. Immediately afterwards, like their peers in Dhaka, the students of Faridpur also erupted in protests centring Rajendra College and the schools. According to Ahmed Rafiq's book Bhasha Andolan: Teknaf Theke Tetulia, the protesters in Faridpur decided to successfully enforce a strike announced centrally from Dhaka for March 11, 1948 by the Rashtrabhasha Sangram Parishad. Rajendra College students, led by Syed Mahbub Ali, Mohiuddin Ahmed, Abdul Matin and others, started campaigning for the strike in the last week of February through processions and street rallies. A spontaneous strike was observed in Faridpur, Dr Abu Muhammad Delwar Hossain wrote in his book Bhasha Andolaner Ancholik Itihas. Police baton-charged the protesters, injuring Mahbub Ali, Mohiuddin Ahmed and several others when the demonstrators brought out a procession from Rajendra College and started marching around the city. The police detained 11 student leaders, but released them later due to the sympathetic role of Faridpur district's administrator Abdul Halim Chowdhury. After the government declared Urdu as the sole state language of Pakistan on January 27, 1952, a Rashtrabhasha Sangram Committee was formed in Faridpur in early February, with Imamuddin Ahmed as the president and Monowar Hossain as the general secretary. With the support of leftist leaders and activists, the movement spread all over Greater Faridpur. A Flag Day was observed in Faridpur on February 4. And it was decided that a strike would be enforced on February 21. According to the book Bhasha Andolone Faridpur by Rezaul Karim, the agitated students took to the streets when the news of killings of students in police firing in Dhaka on February 21 reached Faridpur that afternoon through telegram. Several student protesters in Faridpur were injured when the police clubbed them outside Kotwali Police Station. A full-day strike was observed in Faridpur on February 22. On that day, the students marched from Rajendra College to Chawkbazar Mosque in violation of section 144 of the CrPC, which restricts gatherings. The police attacked the procession and arrested several demonstrators. In protest, the students staged a sit-in outside Kotwali Police Station until the police released the arrested students at midnight. From February 23, Faridpur practically became a city of processions. All administrative activities came to a standstill as the movement spread to the rural areas. In protest against the killings in Dhaka, school students also joined the processions in Faridpur. The Daily Azad newspaper on February 27 reported that the students of Char Atra Azizia Junior High Madrasa in Faridpur enforced a full-scale general strike against the killings in Dhaka. They also flew the national flag at half-mast, brought out a procession and held a rally. [Translated and edited by Osham-ul-Sufian Talukder]"
Dhaka-Rangpur highway: 25 hurt as six vehicles crash amid dense fog,"At least 25 people were injured in a road accident involving six vehicles on Dhaka-Rangpur highway amid dense fog yesterday morning. The vehicles, including two passenger buses, a truck, a pick-up, and a covered van, collided at Garer Matha Mor (intersection) in Mithapukur area around 7:30am. According to highway police and local sources, the vehicles, travelling from Dhaka, lost control due to poor visibility and crashed into each other at the intersection. On information, officials from Barodorga Highway Police Outpost reached the spot, rescued the injured, and arranged for their treatment. They also initiated the process of clearing the damaged vehicles from the highway. Those with serious injuries were rushed to nearby hospitals. Md Moniruzzaman, in-charge of the highway police outpost, confirmed the incident and said the situation returned to normalcy by afternoon. He further explained that heavy sand and soil-laden trucks had left the road slippery, which, alongside poor visibility amid fog, caused the drivers to lose control over steering, causing collision. ""In many areas, visibility has significantly decreased. Drivers and passengers are advised to use headlights and drive cautiously,"" Moniruzzaman added."
Demo at titumir college: People suffer as students keep blocking road,"Private firm employee Mohammad Ekram Hossain visited Chandrima Udyan with his wife and daughter to enjoy the weekend. As evening approached, he hired an autorickshaw to head home to Madhya Badda. However, the journey came to an abrupt halt at Amtoli in Mohakhali around 6:00pm as students of Government Titumir College blocked the road for the third consecutive day on Saturday to press for the demand that the college be turned into a university. For the next 50 minutes, Ekram and his family waited inside the autorickshaw, hoping for a way to continue their journey. When the students announced an hour-long blockade at Gulshan-1 intersection, Ekram chose to walk home. ""Road blockades occur at any time. There is no security on the road. We do not know when the road will be cleared. No one knows anything, and there was no police,"" a frustrated Ekram told The Daily Star. Contacted, Al Amin Hossain, additional deputy commissioner of Dhaka Metropolitan Police (Gulshan Zone), said police were on alert. ""We have remained near the gathering to monitor the situation and maintain law and order. We will take action if any untoward incidents occur."" As the students' ultimatum to meet their demand remained unfulfilled, they blocked the road outside the college after 4:00pm. As a result, traffic on both sides of Bir Uttam AK Khandaker Road, from Mohakhali to Gulshan-1, came to a standstill. After 6:15pm, the protesters marched towards Gulshan-1 and blocked the intersection around 6:40pm, which caused a traffic jam that lasted until 7:50pm. The students then announced the withdrawal of the blockade from the intersection, considering public suffering. However, they soon marched back to the college gate and resumed blocking the road at Mohakhali. The students ended their demonstration for the day around 8:10pm, vowing to resume the protests and continue until their demands are met. Mahmudul Hasan Muktar, a political science student and spokesperson for the protesters, said, ""We will engage in talks only if someone comes forward with a proposal on a full-fledged university."" He added they would strongly resist any attempts to politicise their demand. On Friday, the protesters issued an ultimatum, demanding that Titumir College be declared a university by 4:00pm the next day, or they would block roads or railways in north Dhaka under the programme ""Barasat Barricade to North City"". Some students had been on a hunger strike in front of the college's main gate since Thursday. As of yesterday, 12 students were on hunger strike. Six of them were hospitalised after falling ill. Meanwhile, the education ministry urged the protesters to have patience, saying that the issue was under consideration. It said in a statement that a committee, led by the University Grants Commission chairman, is working on plans to establish a separate university for the seven colleges affiliated with Dhaka University, including Titumir College. The ministry said the concerns of the students were being addressed with empathy, and the committee already held discussions with student representatives from Titumir College and the other six colleges. The statement said the government was committed to enhancing educational opportunities and improving the quality of these institutions. It added that all possible solutions are being explored. The ministry also advised the protesters to refrain from setting deadlines and actions that could disrupt public life or interfere with regular academic activities at the college."
